Timestamp,Best Ask,Best Bid,Mid Price
7100,71330,71319,71324.5
7200,71319,71308,71313.5
7300,71316,71305,71310.5
7400,71314,71308,71311.0
7500,71334,71321,71327.5
7600,71335,71330,71332.5
7700,71341,71328,71334.5
7800,71335,71324,71329.5
7900,71334,71323,71328.5
8000,71337,71326,71331.5
8100,71333,71320,71326.5
8200,71347,71334,71340.5
8300,71338,71327,71332.5
8400,71327,71314,71320.5
8500,71339,71326,71332.5
8600,71352,71351,71351.5
8700,71356,71345,71350.5
8800,71362,71349,71355.5
8900,71382,71371,71376.5
9000,71383,71376,71379.5
9100,71388,71377,71382.5
9200,71407,71394,71400.5
9300,71399,71386,71392.5
9400,71410,71399,71404.5
9500,71397,71386,71391.5
9600,71391,71378,71384.5
9700,71396,71383,71389.5
9800,71384,71378,71381.0
9900,71393,71380,71386.5
10000,71385,71374,71379.5
10100,71381,71368,71374.5
10200,71382,71371,71376.5
10300,71392,71381,71386.5
10400,71403,71390,71396.5
10500,71415,71404,71409.5
10600,71417,71404,71410.5
10700,71405,71391,71398.0
10800,71395,71382,71388.5
10900,71383,71372,71377.5
11000,71376,71371,71373.5
11100,71390,71379,71384.5
11200,71385,71374,71379.5
11300,71394,71383,71388.5
11400,71402,71391,71396.5
11500,71399,71388,71393.5
11600,71397,71384,71390.5
11700,71388,71377,71382.5
11800,71398,71385,71391.5
11900,71408,71395,71401.5
12000,71405,71398,71401.5
12100,71407,71396,71401.5
12200,71407,71396,71401.5
12300,71412,71401,71406.5
12400,71395,71384,71389.5
12500,71401,71390,71395.5
12600,71404,71393,71398.5
12700,71397,71391,71394.0
12800,71410,71399,71404.5
12900,71404,71391,71397.5
13000,71400,71387,71393.5
13100,71395,71384,71389.5
13200,71406,71393,71399.5
13300,71407,71396,71401.5
13400,71396,71385,71390.5
13500,71398,71387,71392.5
13600,71393,71382,71387.5
13700,71396,71385,71390.5
13800,71397,71386,71391.5
13900,71395,71382,71388.5
14000,71399,71388,71393.5
14100,71404,71393,71398.5
14200,71401,71390,71395.5
14300,71406,71405,71405.5
14400,71417,71406,71411.5
14500,71411,71400,71405.5
14600,71401,71388,71394.5
14700,71398,71387,71392.5
14800,71398,71387,71392.5
14900,71401,71390,71395.5
15000,71403,71393,71398.0
15100,71403,71392,71397.5
15200,71403,71392,71397.5
15300,71416,71405,71410.5
15400,71415,71404,71409.5
15500,71413,71399,71406.0
15600,71400,71389,71394.5
15700,71391,71380,71385.5
15800,71382,71371,71376.5
15900,71391,71378,71384.5
16000,71387,71376,71381.5
16100,71373,71360,71366.5
16200,71386,71373,71379.5
16300,71391,71380,71385.5
16400,71386,71375,71380.5
16500,71383,71372,71377.5
16600,71387,71376,71381.5
16700,71375,71364,71369.5
16800,71389,71378,71383.5
16900,71391,71380,71385.5
17000,71384,71370,71377.0
17100,71385,71374,71379.5
17200,71384,71373,71378.5
17300,71365,71364,71364.5
17400,71364,71353,71358.5
17500,71363,71352,71357.5
17600,71351,71338,71344.5
17700,71349,71338,71343.5
17800,71351,71338,71344.5
17900,71341,71330,71335.5
18000,71325,71314,71319.5
18100,71326,71313,71319.5
18200,71317,71306,71311.5
18300,71316,71311,71313.5
18400,71332,71321,71326.5
18500,71333,71322,71327.5
18600,71345,71334,71339.5
18700,71363,71352,71357.5
18800,71363,71352,71357.5
18900,71362,71351,71356.5
19000,71362,71349,71355.5
19100,71353,71342,71347.5
19200,71355,71344,71349.5
19300,71354,71343,71348.5
19400,71369,71358,71363.5
19500,71375,71364,71369.5
19600,71387,71376,71381.5
19700,71392,71381,71386.5
19800,71388,71375,71381.5
19900,71388,71377,71382.5
20000,71387,71376,71381.5
20100,71378,71367,71372.5
20200,71385,71372,71378.5
20300,71370,71359,71364.5
20400,71374,71360,71367.0
20500,71394,71381,71387.5
20600,71410,71399,71404.5
20700,71400,71389,71394.5
20800,71400,71389,71394.5
20900,71407,71396,71401.5
21000,71400,71387,71393.5
21100,71395,71384,71389.5
21200,71394,71388,71391.0
21300,71408,71395,71401.5
21400,71411,71397,71404.0
21500,71396,71391,71393.5
21600,71400,71387,71393.5
21700,71409,71398,71403.5
21800,71415,71403,71409.0
21900,71405,71394,71399.5
22000,71403,71392,71397.5
22100,71408,71397,71402.5
22200,71397,71386,71391.5
22300,71382,71371,71376.5
22400,71379,71368,71373.5
22500,71377,71364,71370.5
22600,71372,71366,71369.0
22700,71364,71351,71357.5
22800,71373,71362,71367.5
22900,71376,71365,71370.5
23000,71375,71364,71369.5
23100,71393,71382,71387.5
23200,71400,71387,71393.5
23300,71412,71399,71405.5
23400,71399,71386,71392.5
23500,71402,71391,71396.5
23600,71402,71389,71395.5
23700,71410,71397,71403.5
23800,71416,71405,71410.5
23900,71423,71409,71416.0
24000,71420,71409,71414.5
24100,71428,71417,71422.5
24200,71424,71413,71418.5
24300,71415,71404,71409.5
24400,71417,71404,71410.5
24500,71422,71409,71415.5
24600,71435,71424,71429.5
24700,71429,71418,71423.5
24800,71424,71413,71418.5
24900,71423,71412,71417.5
25000,71420,71409,71414.5
25100,71407,71393,71400.0
25200,71397,71386,71391.5
25300,71413,71402,71407.5
25400,71419,71408,71413.5
25500,71421,71410,71415.5
25600,71423,71418,71420.5
25700,71426,71425,71425.5
25800,71425,71414,71419.5
25900,71415,71402,71408.5
26000,71418,71405,71411.5
26100,71441,71428,71434.5
26200,71438,71427,71432.5
26300,71446,71433,71439.5
26400,71443,71430,71436.5
26500,71442,71431,71436.5
26600,71447,71436,71441.5
26700,71441,71428,71434.5
26800,71449,71436,71442.5
26900,71446,71433,71439.5
27000,71438,71427,71432.5
27100,71435,71424,71429.5
27200,71423,71412,71417.5
27300,71427,71416,71421.5
27400,71424,71413,71418.5
27500,71411,71400,71405.5
27600,71411,71400,71405.5
27700,71402,71401,71401.5
27800,71419,71412,71415.5
27900,71414,71403,71408.5
28000,71399,71386,71392.5
28100,71398,71385,71391.5
28200,71393,71382,71387.5
28300,71387,71376,71381.5
28400,71398,71384,71391.0
28500,71381,71370,71375.5
28600,71377,71366,71371.5
28700,71384,71373,71378.5
28800,71392,71381,71386.5
28900,71394,71381,71387.5
29000,71388,71375,71381.5
29100,71375,71364,71369.5
29200,71381,71368,71374.5
29300,71381,71379,71380.0
29400,71389,71378,71383.5
29500,71399,71388,71393.5
29600,71399,71386,71392.5
29700,71398,71387,71392.5
29800,71391,71386,71388.5
29900,71402,71391,71396.5
30000,71398,71387,71392.5
30100,71402,71389,71395.5
30200,71411,71400,71405.5
30300,71407,71396,71401.5
30400,71400,71389,71394.5
30500,71399,71394,71396.5
30600,71411,71398,71404.5
30700,71415,71409,71412.0
30800,71420,71407,71413.5
30900,71433,71420,71426.5
31000,71430,71417,71423.5
31100,71437,71426,71431.5
31200,71453,71442,71447.5
31300,71449,71435,71442.0
31400,71453,71442,71447.5
31500,71453,71440,71446.5
31600,71444,71433,71438.5
31700,71436,71422,71429.0
31800,71423,71422,71422.5
31900,71430,71419,71424.5
32000,71435,71424,71429.5
32100,71419,71408,71413.5
32200,71433,71422,71427.5
32300,71437,71426,71431.5
32400,71434,71423,71428.5
32500,71427,71416,71421.5
32600,71426,71413,71419.5
32700,71410,71405,71407.5
32800,71412,71399,71405.5
32900,71404,71398,71401.0
33000,71402,71397,71399.5
33100,71413,71399,71406.0
33200,71403,71390,71396.5
33300,71393,71383,71388.0
33400,71391,71377,71384.0
33500,71388,71375,71381.5
33600,71387,71374,71380.5
33700,71395,71384,71389.5
33800,71372,71359,71365.5
33900,71389,71376,71382.5
34000,71396,71385,71390.5
34100,71398,71392,71395.0
34200,71379,71374,71376.5
34300,71385,71375,71380.0
34400,71402,71391,71396.5
34500,71397,71384,71390.5
34600,71395,71381,71388.0
34700,71411,71398,71404.5
34800,71413,71400,71406.5
34900,71412,71401,71406.5
35000,71403,71392,71397.5
35100,71393,71382,71387.5
35200,71377,71364,71370.5
35300,71383,71370,71376.5
35400,71385,71372,71378.5
35500,71395,71382,71388.5
35600,71399,71388,71393.5
35700,71399,71388,71393.5
35800,71404,71393,71398.5
35900,71413,71402,71407.5
36000,71410,71403,71406.5
36100,71421,71408,71414.5
36200,71430,71419,71424.5
36300,71430,71417,71423.5
36400,71429,71418,71423.5
36500,71426,71415,71420.5
36600,71410,71404,71407.0
36700,71409,71396,71402.5
36800,71395,71384,71389.5
36900,71390,71379,71384.5
37000,71398,71385,71391.5
37100,71399,71388,71393.5
37200,71400,71387,71393.5
37300,71401,71388,71394.5
37400,71394,71383,71388.5
37500,71394,71381,71387.5
37600,71391,71386,71388.5
37700,71409,71398,71403.5
37800,71407,71396,71401.5
37900,71420,71409,71414.5
38000,71423,71416,71419.5
38100,71410,71404,71407.0
38200,71416,71403,71409.5
38300,71424,71413,71418.5
38400,71425,71411,71418.0
38500,71421,71415,71418.0
38600,71420,71407,71413.5
38700,71422,71417,71419.5
38800,71428,71421,71424.5
38900,71431,71425,71428.0
39000,71433,71420,71426.5
39100,71424,71413,71418.5
39200,71431,71417,71424.0
39300,71432,71421,71426.5
39400,71428,71417,71422.5
39500,71424,71413,71418.5
39600,71411,71410,71410.5
39700,71426,71413,71419.5
39800,71428,71417,71422.5
39900,71426,71415,71420.5
40000,71411,71410,71410.5
40100,71432,71418,71425.0
40200,71431,71420,71425.5
40300,71426,71420,71423.0
40400,71443,71432,71437.5
40500,71443,71430,71436.5
40600,71430,71419,71424.5
40700,71431,71420,71425.5
40800,71426,71413,71419.5
40900,71431,71418,71424.5
41000,71409,71396,71402.5
41100,71408,71397,71402.5
41200,71412,71401,71406.5
41300,71423,71412,71417.5
41400,71432,71419,71425.5
41500,71442,71429,71435.5
41600,71440,71429,71434.5
41700,71448,71435,71441.5
41800,71443,71432,71437.5
41900,71457,71446,71451.5
42000,71463,71452,71457.5
42100,71467,71453,71460.0
42200,71456,71443,71449.5
42300,71449,71436,71442.5
42400,71443,71432,71437.5
42500,71448,71437,71442.5
42600,71454,71440,71447.0
42700,71458,71447,71452.5
42800,71454,71441,71447.5
42900,71450,71437,71443.5
43000,71438,71427,71432.5
43100,71435,71424,71429.5
43200,71426,71415,71420.5
43300,71424,71411,71417.5
43400,71432,71421,71426.5
43500,71431,71420,71425.5
43600,71415,71409,71412.0
43700,71430,71419,71424.5
43800,71435,71422,71428.5
43900,71424,71411,71417.5
44000,71421,71410,71415.5
44100,71424,71413,71418.5
44200,71427,71416,71421.5
44300,71429,71418,71423.5
44400,71425,71414,71419.5
44500,71429,71418,71423.5
44600,71442,71429,71435.5
44700,71440,71429,71434.5
44800,71437,71426,71431.5
44900,71439,71426,71432.5
45000,71434,71422,71428.0
45100,71428,71417,71422.5
45200,71445,71432,71438.5
45300,71428,71423,71425.5
45400,71434,71423,71428.5
45500,71442,71431,71436.5
45600,71461,71450,71455.5
45700,71458,71445,71451.5
45800,71469,71458,71463.5
45900,71476,71465,71470.5
46000,71482,71471,71476.5
46100,71494,71483,71488.5
46200,71491,71489,71490.0
46300,71486,71485,71485.5
46400,71489,71476,71482.5
46500,71496,71485,71490.5
46600,71493,71482,71487.5
46700,71490,71479,71484.5
46800,71491,71480,71485.5
46900,71480,71469,71474.5
47000,71484,71471,71477.5
47100,71484,71471,71477.5
47200,71472,71459,71465.5
47300,71452,71439,71445.5
47400,71454,71443,71448.5
47500,71453,71439,71446.0
47600,71446,71433,71439.5
47700,71432,71421,71426.5
47800,71427,71414,71420.5
47900,71434,71421,71427.5
48000,71433,71422,71427.5
48100,71424,71418,71421.0
48200,71441,71430,71435.5
48300,71447,71434,71440.5
48400,71451,71438,71444.5
48500,71466,71459,71462.5
48600,71459,71448,71453.5
48700,71456,71443,71449.5
48800,71455,71444,71449.5
48900,71447,71436,71441.5
49000,71438,71424,71431.0
49100,71428,71421,71424.5
49200,71433,71422,71427.5
49300,71430,71417,71423.5
49400,71419,71408,71413.5
49500,71420,71406,71413.0
49600,71415,71402,71408.5
49700,71415,71409,71412.0
49800,71420,71409,71414.5
49900,71420,71409,71414.5
50000,71420,71409,71414.5
50100,71431,71420,71425.5
50200,71420,71409,71414.5
50300,71409,71398,71403.5
50400,71415,71404,71409.5
50500,71418,71407,71412.5
50600,71414,71403,71408.5
50700,71404,71390,71397.0
50800,71405,71392,71398.5
50900,71401,71390,71395.5
51000,71408,71397,71402.5
51100,71389,71378,71383.5
51200,71387,71376,71381.5
51300,71390,71379,71384.5
51400,71394,71381,71387.5
51500,71380,71369,71374.5
51600,71371,71360,71365.5
51700,71385,71374,71379.5
51800,71385,71380,71382.5
51900,71392,71381,71386.5
52000,71384,71373,71378.5
52100,71383,71370,71376.5
52200,71379,71365,71372.0
52300,71373,71360,71366.5
52400,71368,71357,71362.5
52500,71369,71358,71363.5
52600,71355,71344,71349.5
52700,71340,71327,71333.5
52800,71325,71312,71318.5
52900,71318,71307,71312.5
53000,71315,71302,71308.5
53100,71301,71290,71295.5
53200,71301,71290,71295.5
53300,71285,71274,71279.5
53400,71287,71274,71280.5
53500,71269,71258,71263.5
53600,71265,71264,71264.5
53700,71254,71243,71248.5
53800,71256,71245,71250.5
53900,71244,71238,71241.0
54000,71257,71252,71254.5
54100,71265,71252,71258.5
54200,71247,71246,71246.5
54300,71268,71261,71264.5
54400,71248,71237,71242.5
54500,71251,71238,71244.5
54600,71250,71239,71244.5
54700,71253,71246,71249.5
54800,71245,71234,71239.5
54900,71236,71225,71230.5
55000,71226,71212,71219.0
55100,71218,71207,71212.5
55200,71215,71202,71208.5
55300,71221,71210,71215.5
55400,71224,71213,71218.5
55500,71227,71214,71220.5
55600,71215,71204,71209.5
55700,71224,71211,71217.5
55800,71221,71210,71215.5
55900,71221,71208,71214.5
56000,71220,71209,71214.5
56100,71225,71214,71219.5
56200,71215,71204,71209.5
56300,71206,71193,71199.5
56400,71214,71201,71207.5
56500,71218,71205,71211.5
56600,71212,71201,71206.5
56700,71229,71216,71222.5
56800,71219,71206,71212.5
56900,71212,71206,71209.0
57000,71223,71210,71216.5
57100,71213,71202,71207.5
57200,71222,71209,71215.5
57300,71225,71212,71218.5
57400,71224,71213,71218.5
57500,71211,71199,71205.0
57600,71214,71201,71207.5
57700,71205,71194,71199.5
57800,71197,71186,71191.5
57900,71203,71192,71197.5
58000,71209,71196,71202.5
58100,71207,71195,71201.0
58200,71215,71209,71212.0
58300,71231,71220,71225.5
58400,71225,71212,71218.5
58500,71216,71205,71210.5
58600,71204,71193,71198.5
58700,71204,71193,71198.5
58800,71214,71203,71208.5
58900,71207,71194,71200.5
59000,71214,71201,71207.5
59100,71222,71209,71215.5
59200,71218,71207,71212.5
59300,71219,71208,71213.5
59400,71221,71208,71214.5
59500,71229,71218,71223.5
59600,71237,71224,71230.5
59700,71247,71236,71241.5
59800,71252,71239,71245.5
59900,71247,71236,71241.5
60000,71245,71234,71239.5
60100,71242,71229,71235.5
60200,71254,71243,71248.5
60300,71261,71250,71255.5
60400,71254,71243,71248.5
60500,71249,71238,71243.5
60600,71247,71234,71240.5
60700,71243,71232,71237.5
60800,71232,71221,71226.5
60900,71237,71226,71231.5
61000,71245,71234,71239.5
61100,71243,71232,71237.5
61200,71241,71228,71234.5
61300,71236,71225,71230.5
61400,71240,71229,71234.5
61500,71252,71238,71245.0
61600,71232,71221,71226.5
61700,71250,71239,71244.5
61800,71259,71258,71258.5
61900,71258,71247,71252.5
62000,71267,71256,71261.5
62100,71281,71270,71275.5
62200,71282,71269,71275.5
62300,71279,71273,71276.0
62400,71284,71271,71277.5
62500,71281,71270,71275.5
62600,71278,71267,71272.5
62700,71279,71266,71272.5
62800,71298,71287,71292.5
62900,71292,71281,71286.5
63000,71286,71275,71280.5
63100,71289,71276,71282.5
63200,71298,71291,71294.5
63300,71299,71288,71293.5
63400,71297,71286,71291.5
63500,71300,71289,71294.5
63600,71309,71298,71303.5
63700,71311,71305,71308.0
63800,71298,71297,71297.5
63900,71299,71286,71292.5
64000,71297,71286,71291.5
64100,71295,71282,71288.5
64200,71298,71287,71292.5
64300,71289,71276,71282.5
64400,71273,71262,71267.5
64500,71274,71263,71268.5
64600,71257,71252,71254.5
64700,71270,71259,71264.5
64800,71282,71271,71276.5
64900,71283,71270,71276.5
65000,71278,71264,71271.0
65100,71276,71265,71270.5
65200,71264,71258,71261.0
65300,71266,71255,71260.5
65400,71266,71255,71260.5
65500,71262,71251,71256.5
65600,71259,71246,71252.5
65700,71277,71264,71270.5
65800,71274,71261,71267.5
65900,71271,71260,71265.5
66000,71274,71268,71271.0
66100,71270,71257,71263.5
66200,71267,71260,71263.5
66300,71268,71255,71261.5
66400,71285,71274,71279.5
66500,71304,71292,71298.0
66600,71299,71286,71292.5
66700,71295,71282,71288.5
66800,71295,71284,71289.5
66900,71294,71283,71288.5
67000,71297,71286,71291.5
67100,71281,71280,71280.5
67200,71288,71277,71282.5
67300,71287,71276,71281.5
67400,71280,71269,71274.5
67500,71274,71269,71271.5
67600,71275,71264,71269.5
67700,71278,71265,71271.5
67800,71275,71265,71270.0
67900,71272,71261,71266.5
68000,71266,71253,71259.5
68100,71267,71254,71260.5
68200,71255,71254,71254.5
68300,71275,71264,71269.5
68400,71285,71272,71278.5
68500,71273,71262,71267.5
68600,71277,71266,71271.5
68700,71285,71274,71279.5
68800,71286,71273,71279.5
68900,71279,71266,71272.5
69000,71276,71265,71270.5
69100,71290,71277,71283.5
69200,71296,71285,71290.5
69300,71298,71287,71292.5
69400,71293,71282,71287.5
69500,71291,71278,71284.5
69600,71306,71294,71300.0
69700,71299,71288,71293.5
69800,71297,71286,71291.5
69900,71308,71295,71301.5
70000,71307,71296,71301.5
70100,71316,71303,71309.5
70200,71317,71307,71312.0
70300,71314,71301,71307.5
70400,71311,71300,71305.5
70500,71317,71304,71310.5
70600,71311,71306,71308.5
70700,71326,71313,71319.5
70800,71335,71324,71329.5
70900,71339,71326,71332.5
71000,71328,71323,71325.5
71100,71322,71311,71316.5
71200,71315,71304,71309.5
71300,71314,71301,71307.5
71400,71316,71303,71309.5
71500,71310,71304,71307.0
71600,71299,71286,71292.5
71700,71291,71278,71284.5
71800,71290,71279,71284.5
71900,71289,71278,71283.5
72000,71288,71275,71281.5
72100,71277,71266,71271.5
72200,71277,71266,71271.5
72300,71263,71252,71257.5
72400,71265,71252,71258.5
72500,71265,71254,71259.5
72600,71257,71252,71254.5
72700,71265,71252,71258.5
72800,71253,71240,71246.5
72900,71248,71237,71242.5
73000,71238,71227,71232.5
73100,71237,71226,71231.5
73200,71226,71215,71220.5
73300,71220,71209,71214.5
73400,71224,71213,71218.5
73500,71224,71217,71220.5
73600,71221,71208,71214.5
73700,71205,71199,71202.0
73800,71209,71196,71202.5
73900,71203,71192,71197.5
74000,71208,71195,71201.5
74100,71219,71208,71213.5
74200,71213,71200,71206.5
74300,71223,71209,71216.0
74400,71221,71215,71218.0
74500,71239,71226,71232.5
74600,71258,71247,71252.5
74700,71265,71254,71259.5
74800,71272,71271,71271.5
74900,71261,71250,71255.5
75000,71270,71259,71264.5
75100,71252,71241,71246.5
75200,71263,71257,71260.0
75300,71269,71256,71262.5
75400,71263,71252,71257.5
75500,71258,71247,71252.5
75600,71262,71249,71255.5
75700,71256,71243,71249.5
75800,71266,71255,71260.5
75900,71266,71255,71260.5
76000,71273,71260,71266.5
76100,71263,71252,71257.5
76200,71272,71259,71265.5
76300,71261,71250,71255.5
76400,71244,71233,71238.5
76500,71245,71234,71239.5
76600,71257,71244,71250.5
76700,71253,71243,71248.0
76800,71241,71236,71238.5
76900,71255,71244,71249.5
77000,71243,71232,71237.5
77100,71237,71226,71231.5
77200,71234,71223,71228.5
77300,71238,71227,71232.5
77400,71231,71220,71225.5
77500,71224,71212,71218.0
77600,71219,71208,71213.5
77700,71223,71210,71216.5
77800,71225,71218,71221.5
77900,71222,71211,71216.5
78000,71223,71212,71217.5
78100,71222,71211,71216.5
78200,71219,71208,71213.5
78300,71236,71223,71229.5
78400,71231,71220,71225.5
78500,71229,71216,71222.5
78600,71211,71200,71205.5
78700,71212,71199,71205.5
78800,71202,71191,71196.5
78900,71196,71185,71190.5
79000,71189,71178,71183.5
79100,71201,71188,71194.5
79200,71211,71200,71205.5
79300,71206,71195,71200.5
79400,71205,71194,71199.5
79500,71194,71183,71188.5
79600,71178,71172,71175.0
79700,71179,71178,71178.5
79800,71185,71174,71179.5
79900,71196,71185,71190.5
80000,71194,71193,71193.5
80100,71195,71182,71188.5
80200,71193,71182,71187.5
80300,71199,71186,71192.5
80400,71209,71198,71203.5
80500,71202,71191,71196.5
80600,71197,71184,71190.5
80700,71199,71188,71193.5
80800,71191,71180,71185.5
80900,71193,71182,71187.5
81000,71190,71177,71183.5
81100,71186,71175,71180.5
81200,71186,71175,71180.5
81300,71176,71163,71169.5
81400,71168,71157,71162.5
81500,71163,71152,71157.5
81600,71167,71156,71161.5
81700,71170,71157,71163.5
81800,71164,71153,71158.5
81900,71169,71158,71163.5
82000,71171,71160,71165.5
82100,71172,71161,71166.5
82200,71171,71158,71164.5
82300,71174,71161,71167.5
82400,71167,71154,71160.5
82500,71161,71154,71157.5
82600,71168,71157,71162.5
82700,71163,71152,71157.5
82800,71156,71151,71153.5
82900,71170,71159,71164.5
83000,71163,71157,71160.0
83100,71169,71156,71162.5
83200,71177,71164,71170.5
83300,71177,71171,71174.0
83400,71182,71181,71181.5
83500,71175,71164,71169.5
83600,71184,71177,71180.5
83700,71179,71166,71172.5
83800,71174,71161,71167.5
83900,71167,71154,71160.5
84000,71163,71152,71157.5
84100,71152,71141,71146.5
84200,71161,71150,71155.5
84300,71158,71147,71152.5
84400,71160,71149,71154.5
84500,71148,71137,71142.5
84600,71158,71152,71155.0
84700,71156,71145,71150.5
84800,71150,71140,71145.0
84900,71146,71135,71140.5
85000,71134,71121,71127.5
85100,71138,71127,71132.5
85200,71127,71116,71121.5
85300,71112,71099,71105.5
85400,71101,71088,71094.5
85500,71101,71090,71095.5
85600,71102,71092,71097.0
85700,71118,71112,71115.0
85800,71118,71107,71112.5
85900,71117,71106,71111.5
86000,71120,71109,71114.5
86100,71123,71112,71117.5
86200,71128,71115,71121.5
86300,71124,71113,71118.5
86400,71130,71117,71123.5
86500,71130,71119,71124.5
86600,71116,71109,71112.5
86700,71135,71122,71128.5
86800,71134,71123,71128.5
86900,71124,71113,71118.5
87000,71105,71100,71102.5
87100,71110,71104,71107.0
87200,71115,71102,71108.5
87300,71118,71107,71112.5
87400,71118,71105,71111.5
87500,71130,71117,71123.5
87600,71127,71121,71124.0
87700,71131,71118,71124.5
87800,71128,71117,71122.5
87900,71130,71117,71123.5
88000,71134,71123,71128.5
88100,71131,71120,71125.5
88200,71140,71127,71133.5
88300,71131,71120,71125.5
88400,71116,71110,71113.0
88500,71116,71105,71110.5
88600,71126,71115,71120.5
88700,71129,71116,71122.5
88800,71127,71116,71121.5
88900,71124,71113,71118.5
89000,71123,71112,71117.5
89100,71124,71111,71117.5
89200,71120,71107,71113.5
89300,71113,71102,71107.5
89400,71121,71110,71115.5
89500,71112,71101,71106.5
89600,71104,71093,71098.5
89700,71106,71092,71099.0
89800,71105,71094,71099.5
89900,71109,71098,71103.5
90000,71122,71109,71115.5
90100,71122,71111,71116.5
90200,71138,71127,71132.5
90300,71133,71120,71126.5
90400,71129,71118,71123.5
90500,71130,71119,71124.5
90600,71138,71125,71131.5
90700,71133,71122,71127.5
90800,71125,71120,71122.5
90900,71133,71120,71126.5
91000,71140,71129,71134.5
91100,71135,71124,71129.5
91200,71135,71124,71129.5
91300,71149,71143,71146.0
91400,71131,71118,71124.5
91500,71142,71131,71136.5
91600,71138,71125,71131.5
91700,71131,71120,71125.5
91800,71141,71130,71135.5
91900,71130,71117,71123.5
92000,71128,71117,71122.5
92100,71130,71125,71127.5
92200,71142,71131,71136.5
92300,71149,71136,71142.5
92400,71156,71150,71153.0
92500,71162,71151,71156.5
92600,71167,71154,71160.5
92700,71156,71142,71149.0
92800,71151,71145,71148.0
92900,71160,71147,71153.5
93000,71153,71142,71147.5
93100,71155,71144,71149.5
93200,71153,71142,71147.5
93300,71146,71135,71140.5
93400,71143,71130,71136.5
93500,71140,71127,71133.5
93600,71144,71133,71138.5
93700,71138,71127,71132.5
93800,71132,71121,71126.5
93900,71143,71132,71137.5
94000,71142,71131,71136.5
94100,71160,71147,71153.5
94200,71162,71152,71157.0
94300,71159,71146,71152.5
94400,71161,71150,71155.5
94500,71163,71150,71156.5
94600,71159,71146,71152.5
94700,71160,71147,71153.5
94800,71162,71151,71156.5
94900,71154,71143,71148.5
95000,71150,71136,71143.0
95100,71155,71144,71149.5
95200,71150,71149,71149.5
95300,71168,71157,71162.5
95400,71163,71152,71157.5
95500,71175,71169,71172.0
95600,71178,71165,71171.5
95700,71188,71177,71182.5
95800,71191,71180,71185.5
95900,71197,71184,71190.5
96000,71191,71185,71188.0
96100,71204,71193,71198.5
96200,71186,71181,71183.5
96300,71191,71178,71184.5
96400,71193,71182,71187.5
96500,71193,71180,71186.5
96600,71207,71194,71200.5
96700,71211,71200,71205.5
96800,71212,71199,71205.5
96900,71219,71206,71212.5
97000,71204,71193,71198.5
97100,71186,71181,71183.5
97200,71198,71187,71192.5
97300,71202,71191,71196.5
97400,71208,71202,71205.0
97500,71217,71206,71211.5
97600,71224,71211,71217.5
97700,71214,71203,71208.5
97800,71216,71203,71209.5
97900,71225,71211,71218.0
98000,71218,71207,71212.5
98100,71195,71185,71190.0
98200,71195,71184,71189.5
98300,71204,71194,71199.0
98400,71202,71189,71195.5
98500,71211,71200,71205.5
98600,71213,71202,71207.5
98700,71212,71201,71206.5
98800,71206,71195,71200.5
98900,71209,71198,71203.5
99000,71213,71202,71207.5
99100,71233,71222,71227.5
99200,71237,71226,71231.5
99300,71235,71222,71228.5
99400,71237,71223,71230.0
99500,71238,71227,71232.5
99600,71233,71220,71226.5
